Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat A (Cars up to 1600cc and 97kW),1424,30009,1902,1417
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat B (Cars above 1600cc or 97kW),1139,39728,1346,1137
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat C (Goods vehicles and buses),389,25502,535,389
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat D (Motorcycles),925,3090,1149,920
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat E (Open),380,42002,724,375
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat A (Cars up to 1600cc and 97kW),1475,27000,1799,1475
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat B (Cars above 1600cc or 97kW),1163,42564,1407,1161
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat C (Goods vehicles and buses),409,27400,600,406
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat D (Motorcycles),898,3202,1193,886
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat E (Open),382,47000,626,375
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat A (Cars up to 1600cc and 97kW),1431,36704,1988,1431
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat B (Cars above 1600cc or 97kW),1139,48010,1360,1139
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat C (Goods vehicles and buses),394,28559,610,394
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat D (Motorcycles),923,3352,1154,896
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat E (Open),384,52502,513,379
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat A (Cars up to 1600cc and 97kW),1653,33199,2249,1603
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat B (Cars above 1600cc or 97kW),1205,48000,1634,1181
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat C (Goods vehicles and buses),304,32001,560,284
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat D (Motorcycles),835,3452,1129,834
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat E (Open),398,52410,667,391
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat A (Cars up to 1600cc and 97kW),1656,29159,2338,1650
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat B (Cars above 1600cc or 97kW),1202,43102,1782,1202
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat C (Goods vehicles and buses),309,27589,431,304
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat D (Motorcycles),829,3501,1193,803
